x,y,z
-22.9135,47.1242,-43.9561
-23.303,48.9206,-26.8601
-26.1703,48.9206,-31.3071
-20.1483,48.9206,-20.1838
-18.0349,48.9206,-11.8797
-18.2916,48.9206,-2.54943
-22.247,48.9206,7.20533
-26.6184,48.9206,11.464
-32.6432,48.9206,14.0192
-39.3254,52.3565,20.7563
-33.1933,52.3565,20.7563
-45.4574,52.3565,20.7563
-46.3461,48.9206,14.0192
-39.4946,48.9206,14.8709
-52.3708,48.9206,11.464
-61.3504,41.6235,-3.69994
-57.2732,41.6235,5.69465
-61.6149,41.6235,-12.6857
-59.4365,41.6235,-20.6832
-56.1846,41.6235,-27.113
-53.2291,41.6235,-31.3958
-51.9396,41.6235,-32.9522
-47.7913,41.6235,-32.9522
-43.643,41.6235,-32.9522
-39.4946,41.6235,-32.9522
-35.3463,41.6235,-32.9522
-31.198,41.6235,-32.9522
-27.0497,41.6235,-32.9522
-25.7601,41.6235,-31.3958
-22.8046,41.6235,-27.113
-19.5528,41.6235,-20.6832
-17.3743,41.6235,-12.6857
-17.6389,41.6236,-3.69994
-21.7161,41.6235,5.69465
-26.2221,41.6235,9.79605
-32.4323,41.6235,12.2569
-39.3254,45.8257,20.7563
-39.4946,41.6235,13.0772
-52.7672,41.6235,9.79605
-46.557,41.6235,12.2569
-61.6444,34.3265,-5.44439
-57.5123,34.3265,3.38721
-61.9125,34.3265,-13.8916
-59.7047,34.3265,-21.4099
-56.4091,34.3265,-27.4544
-53.4139,34.3265,-31.4805
-52.107,34.3265,-32.9436
-47.9029,34.3265,-32.9436
-43.6987,34.3265,-32.9436
-39.4946,34.3265,-32.9436
-35.2905,34.3265,-32.9436
-31.0864,34.3265,-32.9436
-26.8823,34.3265,-32.9436
-25.5754,34.3265,-31.4805
-22.5801,34.3265,-27.4544
-19.2846,34.3265,-21.4099
-17.0768,34.3265,-13.8917
-17.3449,34.3265,-5.4444
-21.477,34.3265,3.38721
-26.0435,34.3265,7.24282
-32.3373,34.3265,9.55619
-39.4946,34.3265,10.3273
-46.652,34.3265,9.5562
-52.9457,34.3265,7.24282
-61.4911,27.0294,-7.62251
-57.3876,27.0294,0.458543
-61.7573,27.0294,-15.3519
-59.5649,27.0294,-22.2312
-56.2921,27.0294,-27.762
-53.3176,27.0294,-31.446
-52.0197,27.0294,-32.7848
-47.8447,27.0294,-32.7848
-43.6697,27.0294,-32.7848
-39.4946,27.0294,-32.7848
-35.3196,27.0294,-32.7848
-31.1446,27.0294,-32.7848
-26.9695,27.0294,-32.7848
-25.6717,27.0294,-31.446
-22.6972,27.0294,-27.762
-19.4244,27.0294,-22.2312
-17.2319,27.0294,-15.3519
-17.4982,27.0294,-7.62252
-21.6016,27.0294,0.458539
-26.1366,27.0294,3.98649
-32.3868,27.0294,6.10326
-39.4946,27.0294,6.80886
-46.6024,27.0294,6.10326
-52.8526,27.0294,3.9865
-61.2851,24.3265,-8.52526
-57.2201,24.3265,-0.77496
-61.5489,24.3265,-15.9383
-59.3769,24.3265,-22.536
-56.1348,24.3265,-27.8404
-53.1881,24.3265,-31.3736
-51.9024,24.3265,-32.6576
-47.7665,24.3265,-32.6576
-43.6306,24.3265,-32.6576
-39.4946,24.3265,-32.6576
-35.3587,24.3265,-32.6576
-31.2228,24.3265,-32.6576
-27.0868,24.3265,-32.6576
-25.8011,24.3265,-31.3736
-22.8545,24.3265,-27.8404
-19.6123,24.3265,-22.536
-17.4404,24.3265,-15.9383
-17.7041,24.3265,-8.52526
-21.7692,24.3265,-0.774964
-26.2617,24.3265,2.60859
-32.4534,24.3265,4.63872
-39.4946,24.3265,5.31543
-46.5359,24.3265,4.63872
-52.7275,24.3265,2.60859
-60.9754,21.6235,-9.47738
-56.9681,21.6235,-2.09099
-61.2354,21.6235,-16.5423
-59.0943,21.6235,-22.8303
-55.8983,21.6235,-27.8857
-52.9935,21.6235,-31.253
-51.7261,21.6235,-32.4766
-47.6489,21.6235,-32.4766
-43.5718,21.6235,-32.4766
-39.4946,21.6236,-32.4766
-35.4175,21.6236,-32.4766
-31.3403,21.6235,-32.4766
-27.2632,21.6236,-32.4766
-25.9958,21.6236,-31.253
-23.091,21.6236,-27.8857
-19.8949,21.6236,-22.8303
-17.7538,21.6235,-16.5423
-18.0139,21.6236,-9.47738
-22.0211,21.6236,-2.091
-26.4498,21.6235,1.13369
-32.5535,21.6235,3.0685
-39.4946,21.6235,3.71344
-46.4358,21.6235,3.0685
-52.5395,21.6235,1.1337
-60.54,18.9206,-10.478
-56.6139,18.9206,-3.49309
-60.7947,18.9206,-17.1589
-58.697,18.9206,-23.105
-55.5658,18.9206,-27.8856
-52.7199,18.9206,-31.0699
-56.4565,17.872,-43.9561
-56.1181,17.872,-43.9561
-56.0519,16.1894,-43.9561
-56.3834,16.1894,-43.9561
-47.4836,18.9206,-32.227
-51.4782,18.9206,-32.227
-43.4891,18.9206,-32.227
-39.4946,18.9206,-32.227
-35.5001,18.9206,-32.227
-31.5056,18.9206,-32.227
-27.5111,18.9206,-32.227
-22.8712,17.872,-43.9561
-22.5329,17.872,-43.9561
-22.6059,16.1894,-43.9561
-22.9374,16.1894,-43.9561
-23.4235,18.9206,-27.8856
-26.2694,18.9206,-31.0699
-20.2922,18.9206,-23.105
-18.1945,18.9206,-17.1589
-18.4493,18.9206,-10.478
-22.3753,18.9206,-3.49309
-26.7142,18.9206,-0.443688
-32.6941,18.9206,1.38595
-39.4946,18.9206,1.99583
-46.2951,18.9206,1.38595
-52.275,18.9206,-0.443685
-59.9489,16.2177,-11.5277
-56.1331,16.2177,-4.98894
-60.1965,16.2177,-17.7819
-58.1577,16.2177,-23.3483
-55.1144,16.2177,-27.8235
-52.3484,16.2177,-30.8044
-51.1416,16.2177,-31.8877
-47.2593,16.2177,-31.8877
-43.3769,16.2177,-31.8877
-39.4946,16.2177,-31.8877
-35.6123,16.2177,-31.8877
-31.73,16.2177,-31.8877
-27.8477,16.2177,-31.8877
-26.6408,16.2177,-30.8044
-23.8748,16.2177,-27.8235
-20.8315,16.2177,-23.3483
-18.7928,16.2177,-17.7819
-19.0403,16.2177,-11.5277
-22.8561,16.2177,-4.98894
-27.0732,16.2177,-2.13431
-32.8851,16.2177,-0.421527
-39.4946,16.2177,0.1494
-46.1041,16.2177,-0.421525
-51.9161,16.2177,-2.13431
-59.1568,13.5147,-12.6322
-55.4888,13.5147,-6.59497
-59.3948,13.5147,-18.4066
-57.435,13.5147,-23.546
-54.5095,13.5147,-27.678
-51.8506,13.5147,-30.4302
-50.6905,13.5147,-31.4304
-46.9586,13.5147,-31.4304
-43.2266,13.5147,-31.4304
-39.4946,13.5147,-31.4304
-35.7627,13.5147,-31.4304
-32.0307,13.5147,-31.4304
-28.2987,13.5147,-31.4304
-27.1386,13.5147,-30.4302
-24.4797,13.5147,-27.678
-21.5543,13.5147,-23.546
-19.5945,13.5147,-18.4066
-19.8325,13.5147,-12.6322
-23.5005,13.5147,-6.59497
-27.5542,13.5147,-3.95931
-33.1411,13.5147,-2.37791
-39.4946,13.5147,-1.85078
-45.8481,13.5147,-2.37791
-51.435,13.5147,-3.95931
-58.0939,10.8118,-13.7967
-54.6242,10.8118,-8.33221
-58.319,10.8118,-19.0233
-56.4652,10.8118,-23.6752
-53.6979,10.8118,-27.4151
-51.1827,10.8118,-29.9063
-50.0853,10.8118,-30.8115
-46.5551,10.8118,-30.8115
-43.0249,10.8118,-30.8115
-39.4946,10.8118,-30.8115
-35.9644,10.8118,-30.8115
-32.4342,10.8118,-30.8115
-28.9039,10.8118,-30.8115
-27.8065,10.8118,-29.9063
-25.2914,10.8118,-27.4151
-22.5241,10.8118,-23.6752
-20.6702,10.8118,-19.0233
-20.8953,10.8118,-13.7967
-24.3651,10.8118,-8.33222
-28.1997,10.8118,-5.94659
-33.4846,10.8118,-4.51522
-39.4946,10.8118,-4.03809
-45.5047,10.8118,-4.51521
-50.7896,10.8118,-5.94659
-56.6436,8.10882,-15.032
-53.4445,8.10882,-10.2392
-56.8512,8.10882,-19.6162
-55.1419,8.10883,-23.6963
-52.5904,8.10882,-26.9766
-50.2713,8.10884,-29.1615
